[2018-05-22 11:42:03,225][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[碧眼花园] ok!
[2018-05-22 11:42:03,268][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[信义御城(一期)] ok!
[2018-05-22 11:42:03,329][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[中海阳光玫瑰园] ok!
[2018-05-22 11:42:03,405][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[金港华庭] ok!
[2018-05-22 11:42:03,435][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[金地名津] ok!
[2018-05-22 11:42:03,477][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[彩虹新都] ok!
[2018-05-22 11:42:03,507][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[春晖苑] ok!
[2018-05-22 11:42:03,550][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[幸福华庭] ok!
[2018-05-22 11:42:03,579][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[金地名峰] ok!
[2018-05-22 11:42:03,610][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[御景城] ok!
[2018-05-22 11:42:03,640][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[蘅芳苑] ok!
[2018-05-22 11:42:03,676][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2030] cm_name[万科金域缇香(一期)] ok!
[2018-05-22 11:42:03,707][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[福田花园] ok!
[2018-05-22 11:42:03,743][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[万科天誉二期] ok!
[2018-05-22 11:42:03,858][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[宏发上域花园] ok!
[2018-05-22 11:42:03,935][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[中粮锦云] ok!
[2018-05-22 11:42:04,015][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[玉岭花园] ok!
[2018-05-22 12:05:03,813][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[御龙华庭] ok!
[2018-05-22 12:05:03,843][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2027] cm_name[幸福里] ok!
[2018-05-22 12:05:03,905][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[大冲城市花园] ok!
[2018-05-22 12:05:03,990][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[港铁天颂] ok!
[2018-05-22 12:05:04,036][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[观澜阳光花园] ok!
[2018-05-22 12:05:04,079][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[卓越皇后道] ok!
[2018-05-22 12:05:04,188][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[光雅园] ok!
[2018-05-22 12:05:04,352][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[橄榄鹏苑] ok!
[2018-05-22 12:05:04,420][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2030] cm_name[深业东城御园] ok!
[2018-05-22 12:05:04,475][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[皇御苑(一期)] ok!
[2018-05-22 12:05:04,552][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[四海公寓] ok!
[2018-05-22 12:05:04,579][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[宝安碧海名园] ok!
[2018-05-22 12:05:04,612][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[金洲花园] ok!
[2018-05-22 12:05:04,639][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[百合星城(一期)] ok!
[2018-05-22 12:05:04,707][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[嘉汇新城] ok!
[2018-05-22 12:05:04,769][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[丽湖花园] ok!
[2018-05-22 12:05:04,828][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[泰华阳光海] ok!
[2018-05-22 12:05:04,900][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[海滨小区] ok!
[2018-05-22 12:05:04,927][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[星河传奇] ok!
[2018-05-22 12:05:04,968][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[中骏四季阳光] ok!
[2018-05-22 12:05:04,994][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[莲丰雅苑] ok!
[2018-05-22 12:05:05,038][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2027] cm_name[汇商名苑] ok!
[2018-05-22 12:05:05,064][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[光明大第] ok!
[2018-05-22 12:05:05,124][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[万科金色沁园] ok!
[2018-05-22 12:05:05,707][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[万科红(一期)] ok!
[2018-05-22 12:05:05,743][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[合正名园(一期)] ok!
[2018-05-22 12:05:05,813][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[中海怡翠山庄] ok!
[2018-05-22 12:05:05,903][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[金怡华庭] ok!
[2018-05-22 12:05:05,978][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2027] cm_name[旭飞华天苑] ok!
[2018-05-22 12:05:06,022][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[前海花园] ok!
[2018-05-22 12:05:06,069][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[建安新村] ok!
[2018-05-22 12:05:06,113][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[侨香公馆] ok!
[2018-05-22 12:05:06,140][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[丽沙花都] ok!
[2018-05-22 12:05:06,220][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[上丰花园] ok!
[2018-05-22 12:05:06,780][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2027] cm_name[育才花园] ok!
[2018-05-22 12:05:06,805][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[绿景香颂花园] ok!
[2018-05-22 12:05:06,839][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[星河盛世] ok!
[2018-05-22 12:05:06,872][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1002] cm_name[龙军花园] ok!
[2018-05-22 12:05:06,899][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[万科金色家园] ok!
[2018-05-22 12:05:06,926][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2027] cm_name[翠盈嘉园] ok!
[2018-05-22 12:05:06,954][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[龙珠花园] ok!
[2018-05-22 12:05:06,993][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[万科温馨家园] ok!
[2018-05-22 12:05:07,020][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[莲花一村] ok!
[2018-05-22 12:05:07,048][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[鹏益花园] ok!
[2018-05-22 12:05:07,142][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[益田村] ok!
[2018-05-22 12:05:07,240][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[前海时代] ok!
[2018-05-22 12:05:07,370][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[如意小区] ok!
[2018-05-22 12:05:07,398][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[万科公园里] ok!
[2018-05-22 12:05:07,425][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[红树别院] ok!
[2018-05-22 12:05:07,490][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[鸿德园] ok!
[2018-05-22 12:05:07,595][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[榕江天御(天御豪庭二期)] ok!
[2018-05-22 12:05:07,672][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[万科清林径(二期)] ok!
[2018-05-22 12:05:07,702][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[万科金色领域] ok!
[2018-05-22 12:05:07,745][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2032] cm_name[幸福海] ok!
[2018-05-22 12:05:07,778][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2027] cm_name[阳光绿地家园] ok!
[2018-05-22 12:05:07,805][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[台湾花园] ok!
[2018-05-22 12:05:07,856][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[田面花园] ok!
[2018-05-22 12:05:07,883][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[京基御景华城] ok!
[2018-05-22 12:05:07,916][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[香蜜三村] ok!
[2018-05-22 12:05:07,946][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[天骄华庭] ok!
[2018-05-22 12:05:07,972][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[万象新园] ok!
[2018-05-22 12:05:08,011][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[中海西岸华府(南区)] ok!
[2018-05-22 12:05:08,038][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2027] cm_name[京基一百大厦] ok!
[2018-05-22 12:05:08,078][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[荷坳新村] ok!
[2018-05-22 12:05:08,103][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[同创九著] ok!
[2018-05-22 12:05:08,144][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[领丽花园(中信领航城三期)] ok!
[2018-05-22 12:05:08,808][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[东海国际公寓] ok!
[2018-05-22 12:05:08,922][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2028] cm_name[融湖中心城] ok!
[2018-05-22 12:05:08,991][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[固戍华庭] ok!
[2018-05-22 12:05:09,084][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[名豪丽城] ok!
[2018-05-22 12:05:09,145][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[香江东苑] ok!
[2018-05-22 12:05:09,755][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2034] cm_name[大运城邦二期] ok!
[2018-05-22 12:05:09,780][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2029] cm_name[凤凰花苑] ok!
[2018-05-22 12:05:09,810][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[卓越维港] ok!
[2018-05-22 12:05:09,882][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[2026] cm_name[万科金域蓝湾] ok!
[2018-05-22 12:05:09,941][HousePriceAnalysis.py:263]:INFO: insert table[community_info] city_id[636], district_id[1181] cm_name[侨城馨苑] ok!
